Character,delete_fail,delete_rate,replace_fail,replace_rate,insert_fail,insert_rate,total_without_replaced_by_fail,total_rate,replaced_by_fail,replaced_by_fail_rate,total_count
^,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
i,0,100.0,14,75.0,0,100.0,14,75.0,0,100.0,56
c,0,100.0,8,79.48717948717949,0,100.0,8,79.48717948717949,0,100.0,39
s,0,100.0,21,80.55555555555556,0,100.0,21,80.55555555555556,0,100.0,108
v,0,100.0,7,82.5,0,100.0,7,82.5,0,100.0,40
k,0,100.0,5,84.375,0,100.0,5,84.375,1,96.875,32
w,0,100.0,10,84.84848484848484,0,100.0,10,84.84848484848484,0,100.0,66
y,0,100.0,6,90.9090909090909,0,100.0,6,90.9090909090909,0,100.0,66
x,0,100.0,5,90.9090909090909,0,100.0,5,90.9090909090909,0,100.0,55
p,0,100.0,12,91.72413793103448,0,100.0,12,91.72413793103448,0,100.0,145
I,0,100.0,0,100.0,2,93.93939393939394,2,93.93939393939394,1,96.96969696969697,33
u,0,100.0,1,95.23809523809523,0,100.0,1,95.23809523809523,1,95.23809523809523,21
*,7,95.51282051282051,0,100.0,0,100.0,7,95.51282051282051,0,100.0,156
e,0,100.0,6,97.26027397260275,0,100.0,6,97.26027397260275,0,100.0,219
b,1,98.76543209876543,0,100.0,1,98.76543209876543,2,97.53086419753086,0,100.0,81
n,0,100.0,6,98.07073954983923,0,100.0,6,98.07073954983923,0,100.0,311
K,0,100.0,1,98.24561403508771,0,100.0,1,98.24561403508771,2,96.49122807017544,57
d,0,100.0,4,98.30508474576271,0,100.0,4,98.30508474576271,0,100.0,236
a,0,100.0,1,98.38709677419355,0,100.0,1,98.38709677419355,0,100.0,62
h,0,100.0,2,98.99497487437185,0,100.0,2,98.99497487437185,0,100.0,199
R,1,99.80392156862746,3,99.41176470588235,1,99.80392156862746,5,99.01960784313727,0,100.0,510
/,1,99.55947136563876,0,100.0,1,99.55947136563876,2,99.11894273127754,0,100.0,227
t,0,100.0,1,99.25373134328358,0,100.0,1,99.25373134328358,0,100.0,134
",",1,99.27007299270073,0,100.0,0,100.0,1,99.27007299270073,0,100.0,137
E,0,100.0,4,99.34640522875817,0,100.0,4,99.34640522875817,0,100.0,612
M,1,99.68652037617555,0,100.0,1,99.68652037617555,2,99.37304075235109,0,100.0,319
g,0,100.0,1,99.40476190476191,0,100.0,1,99.40476190476191,0,100.0,168
7,0,100.0,3,99.41176470588235,0,100.0,3,99.41176470588235,0,100.0,510
B,0,100.0,3,99.41176470588235,0,100.0,3,99.41176470588235,0,100.0,510
G,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,309
H,0,100.0,0,100.0,0,100.0,0,100.0,1,96.7741935483871,31
T,0,100.0,0,100.0,0,100.0,0,100.0,1,99.50980392156863,204
N,0,100.0,0,100.0,0,100.0,0,100.0,1,98.98989898989899,99
?,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,160
4,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,228
>,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,47
Y,0,100.0,0,100.0,0,100.0,0,100.0,1,98.83720930232558,86
&,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,166
8,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,45
V,0,100.0,0,100.0,0,100.0,0,100.0,1,99.3006993006993,143
A,0,100.0,0,100.0,0,100.0,0,100.0,1,98.9010989010989,91
C,0,100.0,0,100.0,0,100.0,0,100.0,1,98.14814814814815,54
J,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,74
!,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,104
j,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,26
Q,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,110
3,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,87
;,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,31
o,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,113
X,0,100.0,0,100.0,0,100.0,0,100.0,1,98.21428571428571,56
2,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,38
L,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,157
q,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,90
F,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,239
Z,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,49
P,0,100.0,0,100.0,0,100.0,0,100.0,1,99.14529914529915,117
m,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,54
f,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,35
%,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,51
r,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,40
$,0,100.0,0,100.0,0,100.0,0,100.0,1,95.83333333333334,24
#,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,18
6,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,234
W,0,100.0,0,100.0,0,100.0,0,100.0,1,98.7012987012987,77
5,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,62
<,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,28
D,0,100.0,0,100.0,0,100.0,0,100.0,1,96.7741935483871,31
U,0,100.0,0,100.0,0,100.0,0,100.0,1,99.10714285714286,112
9,0,100.0,0,100.0,0,100.0,0,100.0,1,96.29629629629629,27
"""",0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,21
