Character,delete_fail,delete_rate,replace_fail,replace_rate,insert_fail,insert_rate,total_without_replaced_by_fail,total_rate,replaced_by_fail,replaced_by_fail_rate,total_count
6,0,100,8,94.07407407,0,100,8,94.07407407,0,100,135
G,0,100,7,93.85964912,0,100,7,93.85964912,0,100,114
E,0,100,8,93.65079365,0,100,8,93.65079365,0,100,126
D,1,99.36305732,9,94.26751592,0,100,10,93.63057325,0,100,157
9,0,100,10,93.19727891,0,100,10,93.19727891,0,100,147
H,1,99.24242424,8,93.93939394,0,100,9,93.18181818,0,100,132
B,1,99.29078014,8,94.32624113,1,99.29078014,10,92.90780142,0,100,141
8,0,100,10,92.85714286,0,100,10,92.85714286,0,100,140
5,0,100,10,92.24806202,0,100,10,92.24806202,0,100,129
3,0,100,9,93.07692308,2,98.46153846,11,91.53846154,0,100,130
4,0,100,13,91.44736842,0,100,13,91.44736842,0,100,152
1,0,100,7,94.81481481,7,94.81481481,14,89.62962963,7,94.81481481,135
R,2,98.57142857,13,90.71428571,0,100,15,89.28571429,0,100,140
f,1,99.27007299,14,89.7810219,0,100,15,89.05109489,0,100,137
A,0,100,18,87.91946309,0,100,18,87.91946309,0,100,149
7,0,100,15,87.70491803,0,100,15,87.70491803,0,100,122
L,1,99.30555556,18,87.5,0,100,19,86.80555556,0,100,144
b,1,99.28571429,18,87.14285714,0,100,19,86.42857143,0,100,140
2,1,99.2,11,91.2,5,96,17,86.4,0,100,125
t,0,100,20,86.11111111,0,100,20,86.11111111,0,100,144
e,1,99.2481203,19,85.71428571,0,100,20,84.96240602,0,100,133
&,1,99.35897436,24,84.61538462,0,100,25,83.97435897,0,100,156
h,1,99.26470588,21,84.55882353,0,100,22,83.82352941,0,100,136
r,0,100,23,83.68794326,0,100,23,83.68794326,0,100,141
J,1,99.25373134,21,84.32835821,0,100,22,83.58208955,0,100,134
m,1,99.37888199,26,83.85093168,0,100,27,83.22981366,0,100,161
a,0,100,24,83.09859155,0,100,24,83.09859155,0,100,142
F,1,99.31972789,24,83.67346939,0,100,25,82.99319728,0,100,147
N,2,98.57142857,21,85,1,99.28571429,24,82.85714286,0,100,140
%,0,100,24,81.81818182,0,100,24,81.81818182,0,100,132
d,1,99.32885906,27,81.87919463,0,100,28,81.20805369,0,100,149
T,0,100,30,80.51948052,1,99.35064935,31,79.87012987,0,100,154
P,2,98.70967742,29,81.29032258,1,99.35483871,32,79.35483871,0,100,155
j,2,98.46153846,25,80.76923077,0,100,27,79.23076923,0,100,130
M,0,100,30,77.94117647,0,100,30,77.94117647,0,100,136
g,3,97.70992366,28,78.6259542,0,100,31,76.33587786,0,100,131
n,0,100,36,76,0,100,36,76,0,100,150
Q,0,100,37,71.31782946,0,100,37,71.31782946,0,100,129
Y,2,98.56115108,39,71.94244604,0,100,41,70.50359712,0,100,139
u,0,100,46,64.61538462,0,100,46,64.61538462,0,100,130
<,0,100,51,64.58333333,0,100,51,64.58333333,0,100,144
p,2,98.48484848,47,64.39393939,0,100,49,62.87878788,0,100,132
y,0,100,58,58.27338129,0,100,58,58.27338129,0,100,139
/,1,99.27536232,57,58.69565217,0,100,58,57.97101449,0,100,138
I,3,97.98657718,61,59.06040268,0,100,64,57.04697987,4,97.31543624,149
U,2,98.51851852,60,55.55555556,0,100,62,54.07407407,0,100,135
!,2,98.51851852,65,51.85185185,0,100,67,50.37037037,0,100,135
i,3,97.81021898,70,48.90510949,0,100,73,46.71532847,0,100,137
k,1,99.26470588,72,47.05882353,0,100,73,46.32352941,0,100,136
q,1,99.2481203,72,45.86466165,0,100,73,45.11278195,0,100,133
v,3,98.08917197,86,45.22292994,0,100,89,43.31210191,0,100,157
w,1,99.2,74,40.8,0,100,75,40,0,100,125
K,1,99.26470588,83,38.97058824,0,100,84,38.23529412,0,100,136
c,4,96.8503937,75,40.94488189,0,100,79,37.79527559,0,100,127
>,3,98.03921569,93,39.21568627,0,100,96,37.25490196,0,100,153
s,5,96.6442953,92,38.25503356,0,100,97,34.89932886,0,100,149
C,3,97.6744186,83,35.65891473,0,100,86,33.33333333,63,51.1627907,129
W,1,99.27007299,92,32.84671533,0,100,93,32.11678832,0,100,137
",",3,97.69230769,87,33.07692308,0,100,90,30.76923077,0,100,130
?,5,96.71052632,102,32.89473684,0,100,107,29.60526316,0,100,152
o,4,97.26027397,99,32.19178082,0,100,103,29.45205479,0,100,146
x,2,98.38709677,89,28.22580645,0,100,91,26.61290323,0,100,124
V,2,98.63013699,107,26.71232877,0,100,109,25.34246575,0,100,146
X,4,97.05882353,98,27.94117647,0,100,102,25,0,100,136
$,2,98.61111111,106,26.38888889,0,100,108,25,0,100,144
"""",1,99.20634921,94,25.3968254,0,100,95,24.6031746,0,100,126
Z,5,96.42857143,103,26.42857143,0,100,108,22.85714286,0,100,140
S,1,99.29078014,111,21.27659574,0,100,112,20.56737589,0,100,141
#,3,97.70992366,102,22.13740458,0,100,105,19.84732824,0,100,131
-,3,97.91666667,113,21.52777778,0,100,116,19.44444444,0,100,144
*,3,98.01324503,0,100,119,21.19205298,122,19.20529801,1,99.33774834,151
.,2,98.6013986,114,20.27972028,0,100,116,18.88111888,0,100,143
,3,97.81021898,110,19.7080292,0,100,113,17.51824818,0,100,137
;,3,97.70992366,106,19.08396947,0,100,109,16.79389313,0,100,131
+,2,98.42519685,107,15.7480315,0,100,109,14.17322835,0,100,127
),1,99.18699187,106,13.82113821,0,100,107,13.00813008,0,100,123
z,3,98.125,137,14.375,0,100,140,12.5,0,100,160
(,4,97.05882353,115,15.44117647,0,100,119,12.5,0,100,136
0,1,99.2248062,115,10.85271318,3,97.6744186,119,7.751937984,111,13.95348837,129
:,8,94.73684211,134,11.84210526,0,100,142,6.578947368,0,100,152
equals,2,98.41269841,119,5.555555556,0,100,121,3.968253968,0,100,126
_,4,96.77419355,116,6.451612903,0,100,120,3.225806452,0,100,124
l,6,95.45454545,122,7.575757576,0,100,128,3.03030303,0,100,132
\,1,99.2,121,3.2,0,100,122,2.4,0,100,125
],2,98.4375,123,3.90625,0,100,125,2.34375,0,100,128
O,5,96.42857143,132,5.714285714,0,100,137,2.142857143,106,24.28571429,140
},29,75.21367521,86,26.4957265,0,100,115,1.709401709,0,100,117
^,7,94.57364341,120,6.976744186,0,100,127,1.550387597,0,100,129
[,2,98.75776398,157,2.48447205,0,100,159,1.242236025,0,100,161
@,6,95.86206897,138,4.827586207,0,100,144,0.6896551724,0,100,145
|,6,96.15384615,149,4.487179487,0,100,155,0.641025641,0,100,156
~,33,75.73529412,103,24.26470588,0,100,136,0,0,100,136
`,65,59.62732919,96,40.37267081,0,100,161,0,0,100,161
{,6,94.82758621,110,5.172413793,0,100,116,0,0,100,116
