Character,delete_fail,delete_rate,replace_fail,replace_rate,insert_fail,insert_rate,total_without_replaced_by_fail,total_rate,replaced_by_fail,replaced_by_fail_rate,total_count
%,6,95.45454545454545,126,4.545454545454546,0,100.0,132,0.0,0,100.0,132
❘,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
⭑,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
˜,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
`,116,27.95031055900621,10,93.7888198757764,0,100.0,126,21.73913043478261,0,100.0,161
~,63,53.67647058823529,29,78.67647058823529,0,100.0,92,32.35294117647059,0,100.0,136
O,1,99.28571428571429,81,42.142857142857146,0,100.0,82,41.42857142857143,82,41.42857142857143,140
l,1,99.24242424242425,74,43.93939393939394,1,99.24242424242425,76,42.42424242424242,75,43.18181818181818,132
},47,59.82905982905983,17,85.47008547008546,0,100.0,64,45.2991452991453,0,100.0,117
0,1,99.2248062015504,53,58.91472868217055,7,94.57364341085271,61,52.71317829457365,53,58.91472868217055,129
|,8,94.87179487179486,58,62.82051282051282,1,99.35897435897436,67,57.05128205128205,0,100.0,156
1,0,100.0,0,100.0,50,62.96296296296296,50,62.96296296296296,1,99.25925925925925,135
@,1,99.3103448275862,33,77.24137931034483,0,100.0,34,76.55172413793103,0,100.0,145
{,13,88.79310344827587,9,92.24137931034483,0,100.0,22,81.03448275862068,0,100.0,116
o,0,100.0,25,82.87671232876713,0,100.0,25,82.87671232876713,26,82.1917808219178,146
c,1,99.21259842519686,17,86.61417322834646,0,100.0,18,85.8267716535433,15,88.18897637795276,127
w,0,100.0,15,88.0,0,100.0,15,88.0,14,88.8,125
z,0,100.0,18,88.75,0,100.0,18,88.75,13,91.875,160
2,0,100.0,0,100.0,14,88.8,14,88.8,0,100.0,125
I,0,100.0,11,92.61744966442953,5,96.64429530201343,16,89.26174496644296,12,91.94630872483222,149
L,0,100.0,0,100.0,15,89.58333333333334,15,89.58333333333334,1,99.30555555555556,144
s,1,99.32885906040269,14,90.60402684563759,0,100.0,15,89.93288590604027,13,91.2751677852349,149
],3,97.65625,8,93.75,0,100.0,11,91.40625,4,96.875,128
S,1,99.29078014184397,9,93.61702127659575,2,98.58156028368793,12,91.48936170212765,10,92.90780141843972,141
v,0,100.0,13,91.71974522292994,0,100.0,13,91.71974522292994,3,98.08917197452229,157
[,0,100.0,13,91.92546583850931,0,100.0,13,91.92546583850931,5,96.8944099378882,161
*,9,94.03973509933775,1,99.33774834437085,0,100.0,10,93.37748344370861,0,100.0,151
_,7,94.35483870967742,1,99.19354838709677,0,100.0,8,93.54838709677419,2,98.38709677419355,124
x,1,99.19354838709677,7,94.35483870967742,0,100.0,8,93.54838709677419,8,93.54838709677419,124
C,0,100.0,7,94.57364341085271,0,100.0,7,94.57364341085271,8,93.7984496124031,129
^,5,96.12403100775194,2,98.44961240310077,0,100.0,7,94.57364341085271,0,100.0,129
u,0,100.0,7,94.61538461538461,0,100.0,7,94.61538461538461,8,93.84615384615384,130
K,0,100.0,7,94.85294117647058,0,100.0,7,94.85294117647058,6,95.58823529411765,136
3,0,100.0,0,100.0,6,95.38461538461539,6,95.38461538461539,1,99.23076923076923,130
X,0,100.0,5,96.32352941176471,0,100.0,5,96.32352941176471,5,96.32352941176471,136
W,0,100.0,5,96.35036496350365,0,100.0,5,96.35036496350365,6,95.62043795620438,137
-,0,100.0,0,100.0,5,96.52777777777779,5,96.52777777777779,0,100.0,144
:,5,96.71052631578947,0,100.0,0,100.0,5,96.71052631578947,0,100.0,152
k,0,100.0,4,97.05882352941177,0,100.0,4,97.05882352941177,5,96.32352941176471,136
(,1,99.26470588235294,3,97.79411764705883,0,100.0,4,97.05882352941177,2,98.52941176470588,136
N,2,98.57142857142858,0,100.0,2,98.57142857142858,4,97.14285714285714,1,99.28571428571429,140
8,0,100.0,0,100.0,4,97.14285714285714,4,97.14285714285714,0,100.0,140
.,2,98.6013986013986,1,99.3006993006993,1,99.3006993006993,4,97.2027972027972,0,100.0,143
t,0,100.0,4,97.22222222222221,0,100.0,4,97.22222222222221,0,100.0,144
=,3,97.61904761904762,0,100.0,0,100.0,3,97.61904761904762,0,100.0,126
i,0,100.0,3,97.8102189781022,0,100.0,3,97.8102189781022,0,100.0,137
Z,0,100.0,3,97.85714285714285,0,100.0,3,97.85714285714285,4,97.14285714285714,140
9,0,100.0,0,100.0,3,97.95918367346938,3,97.95918367346938,0,100.0,147
